store_id,sku_id,cat,stock,safety_stock,days_to_expire
S03,K0025,鲜食,49,14,3
S03,K0026,饮料,9,17,115
S03,K0027,乳品,50,10,17
S03,K0028,零食,36,13,111
S03,K0029,日化,49,16,64
S03,K0030,鲜食,48,13,3
S03,K0031,饮料,31,11,43
S03,K0032,乳品,47,14,9
S03,K0033,零食,36,19,31
S03,K0034,日化,13,20,109
S03,K0035,鲜食,10,16,25
S03,K0036,饮料,27,17,64
S03,K0037,乳品,16,17,12
S03,K0038,零食,23,20,74
S03,K0039,日化,50,18,52
S03,K0040,鲜食,47,13,24
S04,K0001,饮料,40,16,46
S04,K0002,乳品,48,18,17
S04,K0003,零食,10,15,73
S04,K0004,日化,8,16,117
S04,K0005,鲜食,38,18,14
S04,K0006,饮料,27,15,38
S04,K0007,乳品,34,11,25
S04,K0008,零食,25,15,118
S04,K0009,日化,48,16,83
S04,K0010,鲜食,31,16,4
S04,K0011,饮料,42,14,101
S04,K0012,乳品,41,13,3
S04,K0013,零食,20,16,83
S04,K0014,日化,31,20,62
S04,K0015,鲜食,26,19,2
S04,K0016,饮料,25,11,77
S04,K0017,乳品,31,11,24
S04,K0018,零食,19,13,39
S04,K0019,日化,26,16,105
S04,K0020,鲜食,16,12,8
S04,K0021,饮料,28,11,63
S04,K0022,乳品,14,15,18
S04,K0023,零食,43,16,80
S04,K0024,日化,42,12,38
S04,K0025,鲜食,14,20,4
S04,K0026,饮料,32,19,120
S04,K0027,乳品,24,18,16
S04,K0028,零食,29,19,119
S04,K0029,日化,40,14,92
S04,K0030,鲜食,35,19,18
S04,K0031,饮料,45,19,94
S04,K0032,乳品,17,11,15
S04,K0033,零食,32,13,103
S04,K0034,日化,27,12,37
S04,K0035,鲜食,45,10,17
S04,K0036,饮料,50,13,63
S04,K0037,乳品,41,12,14
S04,K0038,零食,27,19,53
S04,K0039,日化,32,14,40
S04,K0040,鲜食,20,10,6
S05,K0001,饮料,13,17,45
S05,K0002,乳品,30,19,11
S05,K0003,零食,12,17,31
S05,K0004,日化,18,11,79
S05,K0005,鲜食,10,19,21
S05,K0006,饮料,32,13,94
S05,K0007,乳品,48,20,16
S05,K0008,零食,38,15,32
S05,K0009,日化,27,13,115
S05,K0010,鲜食,5,16,14
S05,K0011,饮料,16,13,49
S05,K0012,乳品,31,13,2
S05,K0013,零食,31,17,74
S05,K0014,日化,46,15,56
S05,K0015,鲜食,0,15,1
S05,K0016,饮料,44,14,80
S05,K0017,乳品,43,18,7
S05,K0018,零食,9,10,69
S05,K0019,日化,5,10,68
S05,K0020,鲜食,15,17,8
S05,K0021,饮料,6,13,56
S05,K0022,乳品,24,18,6
S05,K0023,零食,50,17,52
S05,K0024,日化,49,16,68
S05,K0025,鲜食,25,12,8
S05,K0026,饮料,19,15,117
S05,K0027,乳品,10,11,15
S05,K0028,零食,37,12,101
S05,K0029,日化,20,18,31
S05,K0030,鲜食,48,16,2
S05,K0031,饮料,50,19,116
S05,K0032,乳品,37,20,12
S05,K0033,零食,13,20,82
S05,K0034,日化,40,15,38
S05,K0035,鲜食,46,20,8
S05,K0036,饮料,50,11,38
S05,K0037,乳品,46,12,5
S05,K0038,零食,10,17,94
S05,K0039,日化,43,10,92
S05,K0040,鲜食,45,16,8
S06,K0001,饮料,29,16,84
S06,K0002,乳品,30,20,9
S06,K0003,零食,24,17,108
S06,K0004,日化,37,11,52
S06,K0005,鲜食,20,12,22
S06,K0006,饮料,25,19,83
S06,K0007,乳品,22,15,18
S06,K0008,零食,17,13,31
S06,K0009,日化,36,19,117
S06,K0010,鲜食,50,12,3
S06,K0011,饮料,47,19,115
S06,K0012,乳品,6,13,10
S06,K0013,零食,28,13,92
S06,K0014,日化,45,13,74
S06,K0015,鲜食,11,20,23
S06,K0016,饮料,14,14,55
S06,K0017,乳品,26,12,25
S06,K0018,零食,33,15,118
S06,K0019,日化,33,11,83
S06,K0020,鲜食,45,15,20
S06,K0021,饮料,20,10,36
S06,K0022,乳品,30,18,13
S06,K0023,零食,40,10,88
S06,K0024,日化,9,12,88
S06,K0025,鲜食,30,15,24
S06,K0026,饮料,23,19,49
S06,K0027,乳品,39,19,11
S06,K0028,零食,37,15,39
S06,K0029,日化,43,18,50
S06,K0030,鲜食,37,18,9
S06,K0031,饮料,5,11,51
S06,K0032,乳品,12,14,12
S06,K0033,零食,34,17,105
S06,K0034,日化,31,14,93
S06,K0035,鲜食,10,13,20
S06,K0036,饮料,10,16,81
S06,K0037,乳品,33,16,13
S06,K0038,零食,13,18,74
S06,K0039,日化,13,16,51
S06,K0040,鲜食,41,20,5
S07,K0001,饮料,47,14,71
S07,K0002,乳品,41,20,24
S07,K0003,零食,13,19,33
S07,K0004,日化,40,14,69
S07,K0005,鲜食,23,13,20
S07,K0006,饮料,21,15,115
S07,K0007,乳品,35,16,16
S07,K0008,零食,9,13,80
S07,K0009,日化,39,16,99
S07,K0010,鲜食,45,15,12
S07,K0011,饮料,7,19,32
S07,K0012,乳品,49,15,4
S07,K0013,零食,27,16,106
S07,K0014,日化,37,13,86
S07,K0015,鲜食,18,19,6
S07,K0016,饮料,46,15,119
S07,K0017,乳品,17,16,20
S07,K0018,零食,12,19,31
S07,K0019,日化,10,12,66
S07,K0020,鲜食,34,10,22
S07,K0021,饮料,29,11,83
S07,K0022,乳品,25,20,19
S07,K0023,零食,31,10,59
S07,K0024,日化,38,17,120
S07,K0025,鲜食,7,17,19
S07,K0026,饮料,5,20,47
S07,K0027,乳品,6,13,6
S07,K0028,零食,50,13,111
S07,K0029,日化,40,11,100
S07,K0030,鲜食,15,10,4
S07,K0031,饮料,44,16,103
S07,K0032,乳品,35,16,14
S07,K0033,零食,33,12,58
S07,K0034,日化,17,20,32
S07,K0035,鲜食,19,14,16
S07,K0036,饮料,37,13,62
S07,K0037,乳品,28,16,14
S07,K0038,零食,5,17,91
S07,K0039,日化,11,19,111
S07,K0040,鲜食,49,10,22
S08,K0001,饮料,30,20,74
S08,K0002,乳品,36,14,12
S08,K0003,零食,42,16,54
S08,K0004,日化,35,10,92
S08,K0005,鲜食,21,16,12
S08,K0006,饮料,17,19,87
S08,K0007,乳品,9,16,9
S08,K0008,零食,43,10,62
S08,K0009,日化,26,14,105
S08,K0010,鲜食,40,20,15
S08,K0011,饮料,36,13,98
S08,K0012,乳品,47,10,24
S08,K0013,零食,38,18,75
S08,K0014,日化,39,11,84
S08,K0015,鲜食,15,15,3
S08,K0016,饮料,11,12,57
S08,K0017,乳品,16,16,20
S08,K0018,零食,13,15,83
S08,K0019,日化,36,18,64
S08,K0020,鲜食,48,10,3
S08,K0021,饮料,25,18,102
S08,K0022,乳品,24,10,3
S08,K0023,零食,23,16,41
S08,K0024,日化,25,19,45
S08,K0025,鲜食,5,10,16
S08,K0026,饮料,9,19,33
S08,K0027,乳品,8,10,23
S08,K0028,零食,18,18,87
S08,K0029,日化,25,14,94
S08,K0030,鲜食,33,13,14
S08,K0031,饮料,24,17,110
S08,K0032,乳品,20,16,11
S08,K0033,零食,19,19,103
S08,K0034,日化,7,18,111
S08,K0035,鲜食,22,11,21
S08,K0036,饮料,11,19,56
S08,K0037,乳品,25,19,18
S08,K0038,零食,36,11,78
S08,K0039,日化,19,12,97
S08,K0040,鲜食,17,10,5
S09,K0001,饮料,23,12,74
S09,K0002,乳品,39,20,23
S09,K0003,零食,46,12,62
S09,K0004,日化,45,11,75
S09,K0005,鲜食,10,19,5
S09,K0006,饮料,7,13,113
S09,K0007,乳品,43,14,13
S09,K0008,零食,41,14,31
S09,K0009,日化,47,19,51
S09,K0010,鲜食,9,12,11
S09,K0011,饮料,41,17,70
S09,K0012,乳品,44,19,21
S09,K0013,零食,48,13,34
S09,K0014,日化,20,18,47
S09,K0015,鲜食,50,17,19
S09,K0016,饮料,31,17,116
S09,K0017,乳品,32,10,14
S09,K0018,零食,29,12,110
S09,K0019,日化,41,15,97
S09,K0020,鲜食,17,14,4
S09,K0021,饮料,46,13,32
S09,K0022,乳品,44,17,20
S09,K0023,零食,18,18,100
S09,K0024,日化,23,14,89
S09,K0025,鲜食,49,20,23
S09,K0026,饮料,6,18,54
S09,K0027,乳品,37,13,5
S09,K0028,零食,20,12,82
S09,K0029,日化,41,20,118
S09,K0030,鲜食,45,19,8
S09,K0031,饮料,33,10,117
S09,K0032,乳品,29,16,7
S09,K0033,零食,37,12,61
S09,K0034,日化,35,11,30
S09,K0035,鲜食,24,18,13
S09,K0036,饮料,40,15,40
S09,K0037,乳品,19,13,5
S09,K0038,零食,9,17,43
S09,K0039,日化,31,10,95
S09,K0040,鲜食,33,17,12
S10,K0001,饮料,33,17,81
S10,K0002,乳品,42,12,4
S10,K0003,零食,47,18,120
S10,K0004,日化,43,12,100
S10,K0005,鲜食,19,10,3
S10,K0006,饮料,38,17,49
S10,K0007,乳品,33,14,12
S10,K0008,零食,27,18,34
S10,K0009,日化,16,13,109
S10,K0010,鲜食,5,13,23
S10,K0011,饮料,5,16,83
S10,K0012,乳品,36,18,16
S10,K0013,零食,12,19,91
S10,K0014,日化,15,14,112
S10,K0015,鲜食,35,20,21
S10,K0016,饮料,29,15,52
S10,K0017,乳品,34,11,12
S10,K0018,零食,30,14,54
S10,K0019,日化,31,17,103
S10,K0020,鲜食,49,15,10
S10,K0021,饮料,49,14,42
S10,K0022,乳品,19,17,12
S10,K0023,零食,16,15,75
S10,K0024,日化,24,14,86
S10,K0025,鲜食,38,18,23
S10,K0026,饮料,25,12,48
S10,K0027,乳品,31,20,25
S10,K0028,零食,41,10,107
S10,K0029,日化,12,18,120
S10,K0030,鲜食,11,11,13
S10,K0031,饮料,25,16,44
S10,K0032,乳品,20,13,17
S10,K0033,零食,27,11,99
S10,K0034,日化,34,16,70
S10,K0035,鲜食,31,17,11
S10,K0036,饮料,46,15,34
S10,K0037,乳品,47,16,3
S10,K0038,零食,5,19,98
S10,K0039,日化,17,18,99
S10,K0040,鲜食,18,11,25
S11,K0001,饮料,19,14,104
S11,K0002,乳品,25,10,15
S11,K0003,零食,36,15,52
S11,K0004,日化,32,10,95
S11,K0005,鲜食,45,14,9
S11,K0006,饮料,29,13,74
S11,K0007,乳品,20,13,24
S11,K0008,零食,41,12,99
S11,K0009,日化,24,19,61
S11,K0010,鲜食,13,14,13
S11,K0011,饮料,33,10,71
S11,K0012,乳品,9,15,12
S11,K0013,零食,35,18,73
S11,K0014,日化,13,16,111
S11,K0015,鲜食,39,18,8
S11,K0016,饮料,45,13,30
S11,K0017,乳品,22,20,7
S11,K0018,零食,34,11,48
S11,K0019,日化,12,20,78
S11,K0020,鲜食,47,16,18
S11,K0021,饮料,50,18,50
S11,K0022,乳品,29,19,22
S11,K0023,零食,21,17,89
S11,K0024,日化,16,13,83
S11,K0025,鲜食,35,10,22
S11,K0026,饮料,48,18,56
S11,K0027,乳品,46,14,13
S11,K0028,零食,40,17,90
S11,K0029,日化,16,16,118
S11,K0030,鲜食,11,19,18
S11,K0031,饮料,12,19,54
S11,K0032,乳品,16,19,6
S11,K0033,零食,10,12,65
S11,K0034,日化,19,12,119
S11,K0035,鲜食,49,10,18
S11,K0036,饮料,16,15,80
S11,K0037,乳品,48,19,9
S11,K0038,零食,11,18,62
S11,K0039,日化,22,15,76
S11,K0040,鲜食,22,11,13
S12,K0001,饮料,44,12,99
S12,K0002,乳品,39,18,12
S12,K0003,零食,10,14,60
S12,K0004,日化,8,13,30
S12,K0005,鲜食,30,13,13
S12,K0006,饮料,17,12,33
S12,K0007,乳品,14,16,18
S12,K0008,零食,17,15,90
S12,K0009,日化,24,19,115
S12,K0010,鲜食,24,17,2
S12,K0011,饮料,39,16,104
S12,K0012,乳品,33,11,13
S12,K0013,零食,37,19,84
S12,K0014,日化,46,12,85
S12,K0015,鲜食,17,12,4
S12,K0016,饮料,8,18,76
S12,K0017,乳品,16,18,15
S12,K0018,零食,39,15,82
S12,K0019,日化,23,20,79
S12,K0020,鲜食,24,17,8
S12,K0021,饮料,8,20,79
S12,K0022,乳品,38,18,23
S12,K0023,零食,18,10,52
S12,K0024,日化,15,15,103
S12,K0025,鲜食,33,12,19
S12,K0026,饮料,43,20,96
S12,K0027,乳品,23,16,22
S12,K0028,零食,47,13,89
S12,K0029,日化,18,11,80
S12,K0030,鲜食,17,13,14
S12,K0031,饮料,40,14,32
S12,K0032,乳品,7,11,14
S12,K0033,零食,15,16,90
S12,K0034,日化,37,10,49
S12,K0035,鲜食,18,16,9
S12,K0036,饮料,43,10,69
S12,K0037,乳品,23,20,18
S12,K0038,零食,23,19,93
S12,K0039,日化,45,11,40
S12,K0040,鲜食,20,14,15
